epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3329,0.82445,1.15725,1.59449,0.04429,0.96982,0.95605,0.98319,0.89943,0.45786,0.42027,1.05051,0.02316,0.00066373,0.00066373,0.00066373
2,76.0282,0.60301,0.52363,1.13206,0.02903,0.96787,0.94813,0.98075,0.91847,0.41658,0.36658,1.07622,0.01945,0.00131723,0.00131723,0.00131723
3,112.485,0.58052,0.474,1.09781,0.02773,0.95745,0.94394,0.97975,0.90468,0.40358,0.34816,1.05191,0.02168,0.00195752,0.00195752,0.00195752
4,148.659,0.5735,0.45692,1.09655,0.02425,0.9607,0.96339,0.98488,0.92072,0.38326,0.33589,1.0092,0.01766,0.0019406,0.0019406,0.0019406
5,185.257,0.56456,0.45,1.09197,0.02577,0.97116,0.95048,0.98479,0.91797,0.4125,0.33482,1.02892,0.02496,0.0019208,0.0019208,0.0019208
6,221.891,0.53875,0.40846,1.07045,0.02195,0.96064,0.95347,0.98404,0.92376,0.38355,0.29988,1.03066,0.01654,0.001901,0.001901,0.001901
7,258.155,0.52913,0.40779,1.05491,0.02092,0.96931,0.96356,0.98367,0.92867,0.37217,0.2845,1.00286,0.01349,0.0018812,0.0018812,0.0018812
8,294.326,0.52377,0.39913,1.06593,0.02185,0.97633,0.94402,0.98513,0.929,0.37482,0.29616,1.01893,0.01906,0.0018614,0.0018614,0.0018614
9,331.295,0.50995,0.39185,1.05024,0.02123,0.97626,0.955,0.98635,0.93562,0.36645,0.27323,1.00038,0.01485,0.0018416,0.0018416,0.0018416
10,367.915,0.50296,0.38248,1.03943,0.0184,0.96802,0.9698,0.99074,0.92916,0.38818,0.27653,1.02015,0.0127,0.0018218,0.0018218,0.0018218
11,404.495,0.50195,0.37558,1.04578,0.02093,0.95741,0.96873,0.98652,0.93673,0.35718,0.27178,0.99347,0.01654,0.001802,0.001802,0.001802
12,441.09,0.49074,0.36784,1.03667,0.01835,0.9731,0.96186,0.98853,0.93463,0.34433,0.27754,0.99176,0.01064,0.0017822,0.0017822,0.0017822
13,479.617,0.48942,0.36684,1.04004,0.01752,0.9692,0.95995,0.98756,0.93276,0.35874,0.27228,0.99699,0.01296,0.0017624,0.0017624,0.0017624
14,519.057,0.47851,0.36479,1.02959,0.01726,0.96924,0.96568,0.98839,0.9413,0.34409,0.25275,0.98258,0.01333,0.0017426,0.0017426,0.0017426
15,560.681,0.48105,0.36057,1.02651,0.01647,0.97372,0.96103,0.98801,0.93929,0.34421,0.26464,0.98625,0.01645,0.0017228,0.0017228,0.0017228
16,598.028,0.47185,0.35317,1.02191,0.01607,0.96734,0.96949,0.98951,0.94149,0.33162,0.24492,0.98509,0.01164,0.001703,0.001703,0.001703
17,634.771,0.46242,0.34374,1.01963,0.01571,0.97101,0.97087,0.99033,0.94513,0.34297,0.24142,0.99484,0.01098,0.0016832,0.0016832,0.0016832
